numero_section	nom_section	contexte_1	contexte_2	classe	notes
1110	Très toxiques (Fabrication)			1ère classe	
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Substances et préparations solides :	supérieure à 1 000 kg	1ère classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Substances et préparations solides :	supérieure à 200 kg, mais inférieure ou égale à 1 000 kg	2ème classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Substances et préparations liquides :	supérieure à 250 kg	1ère classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Substances et préparations liquides :	supérieure à 50 kg, mais inférieure ou égale à 250 kg	2ème classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Gaz ou gaz liquéfiés :	supérieure à 50 kg	1ère classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1111	Très toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1000. La quantité totale susceptible d'être présente dans l'installation étant	Gaz ou gaz liquéfiés :	supérieure à 10 kg, mais inférieure ou égale à 50 kg	2ème classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - l’uranium et ses composés.
1115	Dichlorure de carbonyle ou phosgène (Fabrication)			1ère classe	
1130	Toxiques (fabrication industrielle de substances et préparations - ) telles que définies à la rubrique 1 000			1ère classe	Exclus de cette rubrique : | - les substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - le méthanol, notamment visé par la rubrique 1431.
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Substances et préparations solides :	supérieure à 50 tonnes	1ère classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Substances et préparations solides :	supérieure à 5 tonnes, mais inférieure ou égale à 50 tonnes	2ème classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Substances et préparations liquides :	supérieure à 10 tonnes	1ère classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Substances et préparations liquides :	supérieure à 1 tonne, mais inférieure ou égale à 10 tonnes	2ème classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
